DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT13R,DA0912DR13R,DAGC4X13R,DAGC5X12R,DA0GR13N,DA0GH13N,DA00A001S14R,DA00AR01S14R,DA00AW01S14R,DA00AM01S14R,DA00AC01S14R,DA00AS01S14R,DB00A001S14R,DH00A001S14R,DW00A001S14R,DI00A001S14R,D300A001S14R,D400A001S14R,D200A001S14R,DE00A001S14R,DA0CT13R,DA0CC13R,DA0CSA13R,DA0CAA13R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
C O R E ACADEMY,101869,101 HARRIS,04,Improvement Required,1,74,98.6,1.4,0,0,0,0,0,94.6,0,13.5,0,0,0,.,.,.,.,.,.,44,44,63,51,-1,-1,44,-1,.,.,.,.,.,46,.,.,.,.,19.9,12.9,10,5,10,64.9,0,10,125000,60000,57500,40165,59.9,3.7,5.7,100,0,0,.,61.8,7.3,30.9,0,92.3,7.7,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Under 500,Charters,Non-taxing entities,Non-taxing entities
ALDINE ISD,101902,101 HARRIS,04,Met Standard,76,67204,25.1,70.8,2,0.1,1.3,0.1,0.7,85.4,32.6,6.8,30.5,24.4,3.9,95.4,4,80.1,83.4,3050,2328,69,67,64,71,72,70,62,71,74,71,86,70,77,68,57.6,8.9,1259,17.8,8431.3,4036.1,0.9,2.8,9.8,47.9,7.9,30.8,92887,76145,61315,52739,72.4,8,16.7,42.5,9.5,26.9,19,38.4,25.7,32,4,75.1,5.8,3.6,7.9,4,3.6,196128,1.328,621990721,9508,54.9,31,14.1,247714362,0,590463270,526222036,8044,60.4,4.5,5.7,9.1,20.4,317677676,4856,46,14.7,11.7,14.2,3.5,0.5,0.7,1,6.7,1,"50,000 and over",Major Suburban,"$181,217 to < $200,649",$1.2365 to under $1.3593
ALIEF ISD,101903,101 HARRIS,04,Met Standard,46,46207,30.5,51.8,3.6,0.8,12.5,0.2,0.6,81,37.5,7.5,37.5,17.3,4.5,95.7,0.9,94.7,95,2562,2210,73,71,64,76,75,75,72,70,81,63,87,76,80,71,62.9,9.8,1283,18.1,6073.4,3134.6,1,2.5,7.6,51.6,9,28.2,94467,77600,64470,53328,67.9,7.6,14.7,34.1,10.3,27.5,14.5,35.1,24,33.1,7.8,71.2,9.2,2.2,16.7,0.6,0.2,232959,1.32,451958074,9879,52.5,33.1,14.4,76370475,0,440939779,399141721,8725,62,3.5,6,9.7,18.8,247373947,5407,62.9,15,10.4,3.5,2.1,0.6,0.9,1,1.2,2.4,"25,000 to 49,999",Major Suburban,"$226,769 to < $239,665",$1.2365 to under $1.3593
CHANNELVIEW ISD,101905,101 HARRIS,04,Met Standard,13,8933,12.3,76.7,9,0.5,1,0.1,0.5,78.9,27.3,8.2,26,24.2,2.5,96,2.3,92.4,93.4,481,409,73,71,70,75,72,74,71,73,74,61,86,100,68,72,45.5,12.3,1313,17.7,1163.4,551.5,1.4,3,7.6,47.4,7.8,32.8,92373,76547,61888,52837,57.3,7.7,16.2,28.9,11.1,27.4,16,25.3,26.5,44.9,3.3,70.9,8.7,2.7,7.1,4.6,6,252843,1.496,87283490,9975,46.2,42.5,11.3,20598731,0,91786075,71338467,8153,61.8,6,5.9,9,17.2,44105176,5041,60.9,16.5,10.5,2.2,3.5,0.3,2,1.2,1.9,1.1,"5,000 to 9,999",Major Suburban,"$239,665 to < $259,094",$1.3593 and over
CROSBY ISD,101906,101 HARRIS,04,Met Standard,9,5199,17.1,32.8,47.2,0.4,0.4,0,2,45.3,8.9,8.5,5.6,19.4,3.8,95.6,1.1,93.9,92.4,335,325,76,75,72,77,78,76,69,73,80,70,90,-1,89,69,48.7,17.8,1452,19.4,698.5,321,1,2.8,8.6,46,8.4,33.3,105021,75685,62462,53105,36.9,7.4,16.2,39.2,10.4,20.6,19.4,18.1,9.6,67,5.3,73.5,10.4,9.6,0.8,2.1,3.6,246633,1.44,47151035,9164,49,43.2,7.7,4323754,0,50661703,40437007,7859,57.7,5.7,5.4,7.9,23.2,23350206,4538,61.7,14.8,5.8,2.1,2.3,5,4.6,1.6,1.1,1,"5,000 to 9,999",Major Suburban,"$239,665 to < $259,094",$1.3593 and over
CYPRESS-FAIRBANKS ISD,101907,101 HARRIS,04,Met Standard,82,111173,16.6,43.6,28.3,0.6,8.6,0.1,2.3,49.3,15.3,7.1,14.6,29.7,4.8,95.9,1.2,91.3,93.9,6982,5100,84,83,78,86,88,85,77,80,93,83,95,85,89,77,63.8,34.5,1504,21.9,13312.5,6674.5,0.5,3.7,7.9,50.1,12.3,25.6,96703,68825,60889,53395,38.2,8.4,16.7,34.6,10.5,24.8,13.6,11.3,13.4,72.1,3.2,55.6,10.3,3.8,13.3,4.4,12.6,313156,1.45,977118232,8905,38.9,53,8.1,210896033,0,983247101,745585765,6795,63.9,3.6,5.1,8.7,18.7,476128938,4339,64.3,15.6,6.9,7.1,3,1.1,1.5,0,0,0.5,"50,000 and over",Major Suburban,"$312,844 to < $324,855",$1.3593 and over
DEER PARK ISD,101908,101 HARRIS,04,Met Standard,14,12968,2.5,50.7,43.4,0.3,1.3,0,1.8,43,10.9,9.6,11.7,15.1,6,95.4,0.8,91.4,96,855,603,84,84,80,87,88,77,68,81,88,74,94,86,89,78,47.6,24.1,1464,22,1752.3,823.6,0.5,2.5,8.1,47,11.2,30.8,137288,80658,66093,56051,29.1,7.4,15.7,28.6,12.6,29.8,13,0.9,14.4,80.5,4.2,75.4,10.3,0.8,5.6,2.9,5.1,552631,1.527,193563918,15134,7.5,88.3,4.2,29413425,0,227863462,174369938,13633,35.3,6.1,3.4,42.8,12.3,61577877,4815,63.1,16.6,7.3,0.7,3.1,2,2.4,1,2.9,0.9,"10,000 to 24,999",Major Suburban,"$525,059 to < $683,703",$1.3593 and over
GALENA PARK ISD,101910,101 HARRIS,04,Met Standard,23,22515,16.6,76.1,5.3,0.4,0.8,0,0.7,80.7,30.4,8.4,29.8,26.5,6,95.6,2.2,91.3,91.7,1532,1185,77,74,75,81,81,72,74,77,80,75,91,78,85,76,44.1,10.4,1317,18.7,2957.8,1473.1,1.7,2.6,8.9,49.8,6,31,94175,72847,58090,50772,66.4,7.6,15.3,31.2,10.6,29.9,15.3,25.7,31,37,6.2,64.7,9.5,1,15.6,4.9,4.2,259348,1.513,237691478,10798,46.9,42.4,10.6,43934114,0,216118512,186832663,8488,56.2,7.1,5.2,12.8,18.7,105013849,4771,63.8,15.6,11,1.9,3.9,0.3,1.7,1.2,0,0.5,"10,000 to 24,999",Major Suburban,"$259,094 to < $282,185",$1.3593 and over
GOOSE CREEK CISD,101911,101 HARRIS,04,Met Standard,27,22228,15.7,58.1,22.9,0.3,1.4,0.1,1.6,64.6,12.9,9.4,12,21.3,7.4,95.1,1.1,93.5,93,1358,1251,75,73,69,77,81,77,68,74,82,72,92,82,82,71,46.7,15.6,1354,19.4,2937.1,1457.1,1.5,2.6,9.2,49.6,7.7,29.4,95982,80353,64851,56143,44.9,7.6,15.3,36.4,10.3,24.7,14.4,12.8,18.9,65.7,2.6,69.6,7.8,0.9,7.6,5.1,9,386579,1.332,224415874,10321,29.9,59.5,10.5,54547312,0,223407411,187985660,8646,56.3,6.3,5.3,12.3,19.8,105825460,4867,59.5,16,9.4,1.1,3.6,4.4,1.9,0.8,1.4,2,"10,000 to 24,999",Major Suburban,"$382,231 to < $400,089",$1.2365 to under $1.3593
HOUSTON ISD,101912,101 HARRIS,04,Met Standard,279,210716,25.2,62,8.2,0.2,3.5,0.1,0.9,80.6,29.6,7.5,27,15.6,15.6,95.8,3.1,81.6,85.3,9475,7560,71,69,70,72,72,70,63,70,90,73,91,82,86,67,97.2,14.5,1252,20.5,23110.8,11336.5,0.5,2.3,11.6,49.1,5.8,30.7,112880,79611,62702,52186,74.4,9.1,18.6,37.2,10.8,30.1,19.5,36.5,26.7,30.4,6.4,76.5,8.1,2,3.2,2.7,7.6,525058,1.157,1888535642,9322,18.2,71,10.8,276796499,0,2188854557,1663389695,8211,58.1,5.3,7,11.3,18.2,966811280,4772,52.1,12.5,15,10.6,2,0.8,0.8,0.9,4.1,1.2,"50,000 and over",Major Urban,"$469,944 to < $525,059",$1.1251 to under $1.2365
HUMBLE ISD,101913,101 HARRIS,04,Met Standard,42,38056,18.6,32,43.5,0.4,2.9,0.4,2.1,34.5,8.6,7.9,8.5,22.7,6.6,96,0.8,95.5,96.9,2557,2048,83,83,77,83,86,85,73,78,90,78,94,71,86,71,68.4,32.1,1473,22.3,4716.4,2450,1,2.6,12.7,51.9,8.3,23.4,95073,78782,58388,51480,31.5,8.1,15.5,33.6,10.3,24.7,18.3,11.7,10.4,75.9,2,72.9,11.2,1.1,1.6,4.2,9.1,270079,1.52,364998109,9900,42.8,52.1,5.1,64794355,0,364639864,282042374,7650,58.8,4.1,6,10.9,20.1,165963732,4502,57.1,21.5,4.5,0.4,3.6,6.7,2.7,1.5,0.8,1.2,"25,000 to 49,999",Major Suburban,"$259,094 to < $282,185",$1.3593 and over
KATY ISD,101914,101 HARRIS,04,Met Standard,59,67015,9.5,34.1,41,0.5,12.3,0.1,2.6,29,14.2,8.4,14.2,18.2,6.7,96.8,1.2,93.3,95.2,4259,3507,90,90,87,90,90,90,82,85,94,83,97,90,91,81,76.7,46.2,1580,23.6,8162.3,4303.5,0.6,2.4,8.7,52.7,8.4,27.3,117866,83005,64227,52881,32.2,8.2,15.6,30.6,11.4,24.6,13.7,6.4,12.4,78,3.2,73.9,8.1,2.3,3.6,3,9.1,317607,1.527,631001947,9797,35.7,57.8,6.5,119478591,0,686783483,493666162,7665,62.1,4.3,5.7,10.1,17.8,306623094,4761,66.1,18,3.8,1.9,2.7,2.6,1.8,1.3,1,1,"50,000 and over",Major Suburban,"$312,844 to < $324,855",$1.3593 and over
KLEIN ISD,101915,101 HARRIS,04,Met Standard,47,48003,14,38,36.3,0.4,8.4,0.1,2.8,40.9,13.5,8.3,13.2,23.1,5,95.8,1.1,91.9,93.3,3106,2407,83,83,77,84,85,83,73,78,90,84,93,84,89,74,65.9,34.9,1489,22.4,6095.9,3127.3,0.8,2.6,7.8,51.3,6.2,31.3,96674,75459,63570,53637,33.7,7.9,15.3,28.1,12.3,25.5,12.5,9.2,11.4,76.8,2.6,65.4,12.4,0.9,8.5,4.2,8.7,270071,1.44,430554551,9204,45.1,47.4,7.5,35843498,0,497006275,367786308,7862,61.6,4.4,5.9,9,19.2,226440265,4841,69.4,14.7,4.6,1.2,3.7,0.3,1.7,1.4,1.7,1.3,"25,000 to 49,999",Major Suburban,"$259,094 to < $282,185",$1.3593 and over
LA PORTE ISD,101916,101 HARRIS,04,Met Standard,14,7605,6.6,45.2,44,0.5,1,0.1,2.6,48.4,8.3,10.1,8.1,19,9.5,95.2,0.4,95,97,544,389,81,81,77,83,83,74,71,80,84,70,89,85,81,76,41.7,21.6,1415,19.5,991.1,464,1.1,3.1,8.9,46.8,10.7,29.4,122251,79811,61093,54587,31,7.7,16.4,30.5,11.7,23.2,16,6,12.3,78.9,2.8,70.3,10.2,4.8,3.8,4.1,6.9,790466,1.33,83182691,10771,8.3,83.6,8.2,29565826,0,90715177,68989297,8933,53.2,8.9,5.3,14.7,17.8,36722808,4755,55.9,17,5,3.3,2.8,7.9,2.2,1,1.9,3.2,"5,000 to 9,999",Major Suburban,"$683,703 to < $2,233,241",$1.2365 to under $1.3593
PASADENA ISD,101917,101 HARRIS,04,Met Standard,61,54382,7,82.2,7.1,0.2,2.9,0,0.6,78.8,28.5,8.8,26.1,18.4,5,95.2,1.8,88.9,91.1,2997,2113,75,73,73,78,78,73,71,75,82,80,91,81,82,74,48,13.2,1325,19.8,7402.2,3539.7,1,2.5,9,47.8,10.5,29.2,99433,83626,66674,52509,53.8,7.3,15.4,42.5,9.3,20.8,13.6,8.6,31.8,55.4,4.2,64.4,12.7,0,14.7,3.2,5,181275,1.35,522096125,9768,56.9,28.4,14.7,50062993,0,596294484,455356966,8519,58.8,4.6,6.9,10.8,19.1,267580013,5006,55.8,15.7,14.1,2.4,3.3,2.3,1.2,1.3,1.8,2.1,"50,000 and over",Major Suburban,"$181,217 to < $200,649",$1.2365 to under $1.3593
SPRING ISD,101919,101 HARRIS,04,Met Standard,37,36358,39.9,42.7,11.2,1.1,3.7,0.1,1.3,74.2,19.5,8.1,19,33.8,10.6,94.8,2,87.6,85.8,2019,1739,66,66,64,67,68,63,60,68,77,72,85,75,73,63,59.8,10,1281,17.4,4726.4,2360.4,0.8,2.4,9.2,49.9,10,27.7,106072,78332,58745,51349,59.7,7.7,15.4,39.8,9.1,26.6,23.2,31.8,17.4,48.2,2.6,88.4,2.6,0.3,0.8,6.1,1.9,197926,1.57,352548396,9785,54.6,34.5,10.9,33430808,0,342272034,278899566,7741,59.6,5.2,5.7,9.7,19.8,166194124,4613,56.4,21.4,10.5,1.2,4.9,0.5,1.6,1,1.9,0.6,"25,000 to 49,999",Major Suburban,"$181,217 to < $200,649",$1.3593 and over
SPRING BRANCH ISD,101920,101 HARRIS,04,Met Standard,46,35218,5,58.5,27.8,0.9,6.2,0.1,1.5,58.3,33.1,7.2,33.4,15.6,6.4,95.8,2,90.3,91.9,2011,1593,74,73,67,75,78,76,67,64,92,60,91,79,86,62,80.6,43.8,1516,23.4,4118.1,2122.1,0.7,2.9,10.4,51.5,7.8,26.6,128686,85333,63832,52891,46.8,8.6,16.6,30.2,11.7,27.7,21.9,5.9,27.2,61.7,5.2,84.9,6.3,0.3,2,2.4,4.1,562936,1.395,353469412,10164,11.4,76.8,11.8,30798942,0,419747676,289254771,8317,57.4,5.9,6.4,11.4,18.9,166110781,4776,63,16.8,6.9,2.4,2.5,0.4,1.8,0.7,4.3,1.1,"25,000 to 49,999",Major Suburban,"$525,059 to < $683,703",$1.3593 and over
TOMBALL ISD,101921,101 HARRIS,04,Met Standard,15,12444,4.7,29.2,57.3,0.3,5.4,0.1,3,23.6,11.3,7.6,11,25.6,8.2,96.4,0.7,96.2,97.2,694,561,90,90,84,92,90,88,84,86,92,91,96,94,90,80,63.3,37.8,1519,23,1630.8,760.7,1,2.6,8.7,46.6,9.3,31.8,113058,80354,62076,53135,20.8,7.6,16.4,28.7,11.5,22.6,10.8,2.3,9.5,86.2,2,74.7,7,0.8,6.3,3.6,7.5,468376,1.36,117677662,10038,20.3,75.2,4.5,22606078,0,115577947,92854003,7921,56.7,5.6,6.1,11.3,20.4,52599754,4487,69.3,17.7,2.9,0.7,3.4,0.4,3.4,0.6,0.9,0.8,"10,000 to 24,999",Major Suburban,"$441,532 to < $469,944",$1.3593 and over
SHELDON ISD,101924,101 HARRIS,04,Met Standard,13,7745,21.6,68,8.6,0.2,0.4,0.2,1,79.8,29.2,6.5,30.9,19.8,5.6,96.4,1.9,92,89.9,378,270,71,69,67,71,76,72,65,72,79,73,89,80,82,69,61.4,4.3,1207,17.2,1123,499.3,1.2,3.1,11.7,44.5,8.5,31.1,101071,79642,58757,49953,56.5,6.9,15.5,50.4,7.6,21.7,23.4,27.7,24.2,45.2,3,65,4.7,1.6,19.8,3.7,5.1,537400,1.43,88942472,11782,18.5,71,10.5,19170181,0,91855354,69705085,9234,56.7,6.8,6.1,12.3,18.2,39534724,5237,51.9,16.3,11.8,8.6,3,0.4,2.1,0.1,2.8,3.1,"5,000 to 9,999",Major Suburban,"$525,059 to < $683,703",$1.3593 and over
HUFFMAN ISD,101925,101 HARRIS,04,Met Standard,5,3308,2.1,18.4,77.6,0.2,0.5,0.1,1.1,32.7,5,7.7,4.7,27.2,7.2,96.1,1.1,95.3,97.8,186,171,75,77,63,72,82,76,70,67,77,100,54,-1,87,65,60.2,19.6,1435,22.2,418.9,206.1,1,2.6,8.2,49.2,8.8,30.2,100504,73569,56439,50882,11.9,7.9,16.1,29.6,11.3,17,10.5,1.4,5.3,91.8,1.5,73.7,7.2,6.8,0,5.1,7.3,247556,1.445,29510854,9019,49.4,44,6.6,9427655,0,28375001,23685517,7239,57.2,6.5,5.4,11.1,19.8,13548870,4141,68.8,14.2,5.6,0.3,4.7,0.9,2.9,1.5,0.4,0.8,"3,000 to 4,999",Non-metropolitan Stable,"$239,665 to < $259,094",$1.3593 and over
KARNACK ISD,102901,102 HARRISON,07,Improvement Required,2,172,62.8,14.5,13.4,0,0,0,9.3,94.8,7.6,8.1,8.1,22.1,8.7,96.7,0,72.7,100,8,5,66,63,79,74,66,-1,66,55,83,.,.,.,82,65,75,0,.,15.8,42,20.1,3.5,4.8,4.5,47.9,9.5,29.9,87232,70137,39590,37118,58.5,4.1,8.5,54.7,8.7,15.5,23.2,44.7,0,50.3,5,70.7,6.7,11,0,10.7,1,1284791,1.04,2398923,13402,16.2,63.8,20.1,246576,0,2440498,2430642,13579,45.8,12.3,8.5,12.5,21,1113035,6218,30.9,12.1,29.3,0.4,13.7,0.2,3.5,0.4,9.3,0.2,Under 500,Rural,"$683,703 to < $2,233,241",Under $1.1251
MARSHALL ISD,102902,102 HARRISON,07,Met Standard,11,5535,39,31.6,26.6,0.4,0.4,0.1,2,76,17,6.4,16.2,26.5,13.8,95.5,1.6,89.3,93,294,187,64,65,57,66,66,60,55,68,74,71,97,-1,66,61,43.4,15.6,1371,19.7,738.1,355,1.5,3.5,10.9,48.1,10.6,25.4,81854,65288,48873,42390,45.3,7.5,15.6,39.2,11.3,6.5,28,29.1,5,63.9,2,68.7,4.4,0.7,10.5,5.7,10,505624,1.04,47968330,8637,16.5,61.5,22.1,13080702,0,45533963,43690012,7866,60.2,5.2,6,7.7,20.8,26318600,4739,48.7,14.1,25.8,1.4,4.2,0.2,3.1,1.9,0.2,0.5,"5,000 to 9,999",Independent Town,"$469,944 to < $525,059",Under $1.1251
WASKOM ISD,102903,102 HARRISON,07,Met Standard,3,894,17.6,24.7,52.8,0,0.1,0,4.8,59.6,10.4,9.8,9.6,33.9,4.9,96,0.8,98.4,88.6,63,49,73,75,68,70,80,78,60,67,81,.,-1,.,70,66,61.9,7.7,1443,19.6,142.1,75.5,2.1,2.1,3.1,53.1,17.1,22.4,69446,63702,51191,39280,24,6.3,11.8,34.4,11.2,11.3,22,8,1.3,90.8,0,79.7,7.8,2.2,1.3,8.8,0.2,538892,1.165,8757544,10124,21.4,71.1,7.5,2200554,0,10054899,7338215,8483,60.3,5.6,4.8,11.6,17.6,4424762,5115,54.5,14.4,11.8,0.9,9.1,0.3,6.7,1.3,1.1,0,500 to 999,Non-metropolitan Stable,"$525,059 to < $683,703",$1.1251 to under $1.2365
HALLSVILLE ISD,102904,102 HARRISON,07,Met Standard,6,4754,7,12.1,76.6,0.5,0.7,0.1,3.1,38.2,3.3,8.4,3.2,31.6,7.7,96.1,0.2,97.7,97.2,267,216,85,84,76,88,89,79,72,79,87,89,100,63,81,78,56.9,25.7,1406,21.5,610.4,336.8,1,2.6,7.8,55.2,12.5,20.9,96048,69636,49226,42127,10,7.8,14.1,29.8,12.6,14.7,12.5,3,1.2,94.7,1.2,75.8,3.1,7.7,0,5.4,8,497005,1.423,49582146,10783,22.9,68.2,8.9,5326399,0,48747578,38235716,8316,55.3,7.6,4.7,13.4,19.1,21140053,4598,59.7,19.3,5.9,1.2,6,0.1,3.5,2.5,1.2,0.7,"3,000 to 4,999",Other Central City Suburban,"$469,944 to < $525,059",$1.3593 and over
HARLETON ISD,102905,102 HARRISON,07,Met Standard,3,719,2.6,5.3,89.4,0.1,0.1,0,2.4,36.6,0.3,11.1,0.3,24.6,6,96.4,0,97.9,93.5,46,38,85,87,96,88,84,65,67,86,86,.,-1,.,81,78,67.4,29,-1,21.3,114.4,60,1.7,1.7,4.4,52.5,9.5,30.2,121564,78562,51850,41514,5.2,6.3,12,18.3,12.9,11.7,11.9,3.3,1.7,93.3,1.7,86.7,3.4,2.1,0,7.4,0.3,227165,1.25,7207319,9927,59.7,31.7,8.7,1976606,0,7015081,6335878,8727,51.7,6.8,5.8,13.6,22.1,3274100,4510,65.4,11.1,11,0,5.6,0.2,6,0.2,0.3,0.3,500 to 999,Rural,"$226,769 to < $239,665",$1.2365 to under $1.3593
ELYSIAN FIELDS ISD,102906,102 HARRISON,07,Met Standard,3,1029,12.1,4.3,80,0.3,0.5,0,2.8,43,0.9,10.9,0.8,27.5,5.5,95.4,1.9,84.8,91.1,57,42,87,89,94,86,88,74,77,75,89,-1,100,.,86,84,80.7,15.2,-1,19,164.3,86.2,1.8,3.3,3.1,52.5,9.5,29.8,86861,69630,54095,42381,13.9,6.3,11.9,25.5,14,25.1,14.6,7,2.3,90.7,0,75,6.7,9.6,0,4.5,4.1,620591,1.225,10213890,10183,24.2,69.9,5.9,3310807,0,12107966,9440230,9412,53.6,7.5,6,10.9,21.9,5062551,5047,63.6,11.8,8.9,0.2,5.5,0.4,4.9,1.8,2.9,0,"1,000 to 1,599",Non-metropolitan Stable,"$525,059 to < $683,703",$1.1251 to under $1.2365
CHANNING ISD,103901,103 HARTLEY,16,Met Standard,1,128,0.8,18.8,79.7,0.8,0,0,0,45.3,4.7,10.2,4.7,46.1,4.7,95.6,0,100,100,16,14,75,74,82,69,75,87,-1,63,76,.,.,.,-1,66,31.3,20,.,19.2,30.6,16.8,3.3,2.6,3.3,55,8.3,27.6,83385,67227,44960,45839,9.8,4.2,7.6,38.2,11,14.2,30.4,0,17.8,82.2,0,72.2,17.2,0.7,0,10,0,905273,1.028,2249265,12927,7.6,86.5,5.9,516817,0,2333376,2038871,11718,53.6,12.5,5.6,11.4,17,1093077,6282,68.7,5.7,12.3,0.8,8.7,0.3,2.6,1,0,0,Under 500,Rural,"$683,703 to < $2,233,241",Under $1.1251
HARTLEY ISD,103902,103 HARTLEY,16,Met Standard,1,204,0,65.7,33.3,0.5,0,0,0.5,69.1,39.2,4.9,39.2,30.9,2,96.4,0,92.9,88.9,13,12,83,85,88,86,71,71,.,76,92,.,.,.,-1,80,76.9,50,.,23.1,32.9,19.2,3,3,3.1,58.3,15.4,17.2,76385,28073,44287,40926,8.1,6.2,10.6,45.2,11.4,18.3,16.1,0,0,96.5,3.5,91.2,0,2.9,0,5.9,0,752597,1.076,2273647,11483,18.5,75.3,6.2,611140,0,2267218,2150078,10859,53.8,12,5.5,13.9,14.9,1156061,5839,61.5,7.1,14.3,2.6,6.5,0.6,4.9,1.1,1.4,0,Under 500,Rural,"$683,703 to < $2,233,241",Under $1.1251
HASKELL CISD,104901,104 HASKELL,14,Met Standard,3,626,4.5,37.4,54.5,0.5,0.5,0,2.7,66.6,1.9,10.7,1.9,26.7,2.7,95.9,0.5,97.4,100,37,31,80,82,67,83,81,77,56,68,89,-1,71,.,80,72,62.2,34.8,-1,20.7,117,65.4,0.9,2.5,4.9,55.9,14.5,21.4,103000,73816,48554,41636,16.2,5.4,9.6,7.6,16.6,12.2,6.2,0,4.6,95.4,0,75.4,7.8,7.3,0,9.4,0,249570,1.16,8375077,12709,59.7,30.3,10,689984,0,8400136,7219281,10955,56,8.2,5.7,12.9,17.1,4045542,6139,44.1,14.1,27.5,0.2,6.3,0.4,4.5,0.9,1.9,0,500 to 999,Rural,"$239,665 to < $259,094",$1.1251 to under $1.2365
RULE ISD,104903,104 HASKELL,14,Improvement Required,1,132,1.5,39.4,56.8,0,0,0,2.3,75,5.3,12.1,5.3,42.4,5.3,95.6,0,100,100,6,5,62,75,89,50,54,52,-1,50,69,.,.,.,100,59,33.3,-1,.,-1,28.8,16.9,3.5,3.5,4.4,58.6,10.4,19.7,70000,63000,44738,36335,22.2,4.6,7.8,41.5,13.1,5.9,30.4,0,0,100,0,81.5,0,4.9,3,10,0.6,285454,1.17,1639311,12708,58.9,30.7,10.4,319929,0,1708892,1675275,12987,53.6,14.3,5.5,8.4,18.2,897199,6955,56,10.4,14.4,1.3,8.1,0.2,3.6,2.8,3.1,0,Under 500,Rural,"$282,185 to < $299,922",$1.1251 to under $1.2365
PAINT CREEK ISD,104907,104 HASKELL,14,Met Standard,1,133,0,35.3,63.9,0,0,0,0.8,70.7,0.8,8.3,0.8,54.1,6,96.4,0,100,92.3,9,5,93,91,87,97,94,94,.,91,94,.,.,.,.,91,44.4,-1,-1,-1,28.4,15.8,3.4,3.5,5.8,55.6,7,24.6,69603,55500,42194,34179,10.6,4.7,8.4,50.6,8.2,19.7,32.5,0,6.3,93.7,0,72.4,8.6,2.9,0,16.1,0,223613,1.162,1883667,12075,64.2,27.9,7.9,593563,0,1792568,1557754,9986,50.2,14.4,1.9,10.8,22.7,781387,5009,55.1,11.2,13.2,0.1,15.6,0.6,3.7,0.6,0,0,Under 500,Rural,"$200,649 to < $226,769",$1.1251 to under $1.2365
KATHERINE ANNE PORTER SCHOOL,105801,105 HAYS,13,Met Standard,1,150,1.3,16,77.3,0,1.3,0,4,52.7,0,11.3,0,76.7,0,93.5,2.4,84.2,77.8,30,24,85,76,.,82,98,94,-1,76,86,.,-1,.,-1,82,70,28.6,1490,22,26.9,21.2,3.7,3.7,9.9,79,0,3.7,50500,38880,40787,35189,3.7,5.6,7.1,76.9,3.1,21.2,27.7,0,0,100,0,61.6,6.1,0,0,17.6,14.8,.,.,1646883,12021,77.1,7.3,15.6,0,1092802,1569288,1552486,11332,50.6,13.4,6.1,7.3,22.7,784993,5730,45,12.9,28.5,0,9,0,0,4.6,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
TEXAS PREPARATORY SCHOOL,105802,105 HAYS,13,Met Standard,2,199,25.6,52.8,17.6,0.5,1.5,0,2,65.3,0,7,0,0,0,96.7,.,.,.,.,.,98,100,100,96,100,.,100,97,100,-1,.,.,-1,98,.,.,.,.,49.4,18.9,1,5.1,6.1,38.2,0,49.7,82800,43160,22117,29203,49,4,10.5,100,0.1,0,37,0,21,68.4,10.6,100,0,0,0,0,0,.,.,1404230,10176,62.3,6.7,30.9,0,-172787,1668988,1668988,12094,56.1,14.9,1.8,18.4,8.8,935516,6779,88.6,5.9,5.4,0,0,0,0,0,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
