DISTRICT,DZCAMPUS,DA00A001S15R,DB00A001S15R,DW00A001S15R,DH00A001S15R,DI00A001S15R,D200A001S15R,D300A001S15R,D400A001S15R,DE00A001S15R,DA00AR01S15R,DA00AM01S15R,DA00AC01S15R,DA00AS01S15R,DA00AW01S15R,DA0AT14R,DA0912DR14R,DAGC4X14R,DAGC5X13R,DA0GH14N,DA0CC14R,DA0CT14R,DA0CSA14R,DA0CAA14R,DA0GR14N,DPSTTOFC,DPSATOFC,DPSTURNR,DPSTEXPA,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSAKIDR,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTSPFP,DPSTGOFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTO2FP,DPST05FP,DPSTADFP,DPSTKIDR,DPSTTOSA,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPETALLC,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DZRVLOCP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DISTNAME,REGION,DZRATING,DZCNTYNM,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
135001,1,91,,90,94,,,,,,91,100,88,88,92,96.5,0,100,-1,8,0,100,,17,8,20.2,37,18,16.4,54.6,1.1,2.4,1.4,5.4,35.1,8.1,3.1,82.2,14.8,0.6,0,2.4,0,0,95.1,4.9,0,22.3,17.9,5.6,53466,57511,68959,149600,113,85.8,0,14.2,0,0,0,0,0,1.8,4.4,35.4,1.8,9.7,3122608,1.303,4279860,40376,24.5,1.3,2266054,0,4260471,3266078,30812,47.5,1550291,14625,74.9,2.9,6,2.2,9.8,0.2,4.1,0,0,0,74.2,10.8,0.7,21.7,19.3,GUTHRIE CSD,17,Met Standard,135 KING,Under 500,Rural,"$1,678,318 and over",$1.2401 to under $1.3690
136901,3,80,100,92,74,,100,-1,,71,83,91,71,72,75,95.8,1.8,92.3,95.1,32,33.3,45.3,1372,22,53,55.5,109.6,24.5,11.1,50.6,2.7,2.4,2.6,14.6,27,41.7,5.8,86.6,5.1,1.9,0,6.4,0,0,85.4,14.6,0,43.1,13.3,11.5,43246,51837,79390,73505,640,30.5,0.8,67.7,0.2,0.2,0,0.8,60.2,5.9,10.3,29.4,5.8,8.1,278358,1,8408002,13138,48.9,7.6,5286061,0,6755483,6638895,10373,54,3582259,5597,57.6,10.4,15.5,1.2,4.7,0.4,5.7,1.6,2.9,0,43.5,9.5,5.3,13.2,18.1,BRACKETT ISD,20,Met Standard,136 KINNEY,500 to 999,Rural,"$267,621 to < $285,930",Under $1.1398
137901,8,57,58,73,55,-1,100,85,,54,59,54,61,43,57,93.8,5.2,73.7,77.4,178,7.8,62.9,1270,17.1,205,247.1,538.9,19.3,12.5,45.8,8,2.4,1.4,14,28.3,76.7,6.4,78.2,4.2,1.4,2,11.1,3.1,1.6,30.7,65.6,2,31,25.4,13.9,45060,52255,65096,75433,3427,8.5,3.5,86.8,0.2,0.9,0,0.1,76.8,4,10.7,25.4,3.4,5.1,207131,1.519,42034426,12280,52.3,13.6,10229697,0,58417859,33768259,9865,53.6,18089807,5285,52.6,23.7,13.8,0.1,4.5,0.6,2.3,0.7,0.4,1.3,34.2,7.7,5.3,13.2,20.3,KINGSVILLE ISD,02,Met Standard,137 KLEBERG,"3,000 to 4,999",Independent Town,"$180,893 to < $213,468",$1.3690 and over
137902,2,83,,93,81,,,100,,76,88,100,81,43,92,96,,,,,,,,,,44.8,87.2,6.6,15.9,51.3,8,1.4,2.3,9,27.9,74.8,7.8,73,0,0,25,0,2,2.2,29.1,68.7,0,24,19.6,15.2,53317,55792,65867,93676,681,16,0.1,82.5,0,1.2,0,0.1,54.6,4.1,5,0,3.8,7.2,206259,1.17,7429553,10614,67.8,6.9,2742318,0,6472943,6347828,9068,57.8,3666979,5239,55.9,5.6,33.2,0.7,0,1,1.1,0,2.6,0,25.3,5.9,2.5,13.8,19.9,RICARDO ISD,02,Met Standard,137 KLEBERG,500 to 999,Rural,"$180,893 to < $213,468",$1.1398 to under $1.2401
137903,2,78,,90,74,-1,-1,-1,,71,74,80,86,82,82,94.6,1.1,93.5,94.9,38,11.1,83.7,1282,17.9,43,37.7,67.8,29.6,14.5,55.7,3,4.4,4.4,5.9,26.6,52.4,6.3,85.5,11.8,0,0,2.6,0,0,53.6,46.4,0,26.5,15.9,11.3,47649,61895,68624,73607,428,24.8,0.2,73.8,0.2,0.5,0,0.5,62.1,2.8,6.8,38.3,2.8,4.7,579892,1.04,5295009,12200,36.3,7.1,1877754,0,5456914,5305907,12226,54.8,2908466,6702,62,8.2,10.3,2.7,10.2,0.5,6,0.2,0,0,56.6,9.3,4.7,12.7,18.5,RIVIERA ISD,02,Met Standard,137 KLEBERG,Under 500,Rural,"$533,171 to < $666,628",Under $1.1398
137904,2,91,90,97,89,,100,100,,87,91,95,88,92,92,96.7,1.2,96.6,88.9,54,24.5,87.5,1498,19.7,56,45.5,85.3,20,12.2,53.3,9.8,2.9,3.5,5.9,24.6,65.4,7.4,88.4,11.6,0,0,0,0,2.2,37.4,60.4,0,37.2,19.8,13.9,46412,53386,73276,82819,630,19.7,1.1,76.8,0,1.3,0,1.1,35.4,0.5,2.9,33.2,0.5,18.9,283698,1.387,8958070,15235,49.2,3.5,3499250,0,7876894,6928134,11783,47.5,3291184,5597,77.5,3.7,3.2,0,5.5,0.1,9.5,0,0.5,0,47.3,11.5,4.9,16.4,19.7,SANTA GERTRUDIS ISD,02,Met Standard,137 KLEBERG,500 to 999,Non-metropolitan Fast Growing,"$267,621 to < $285,930",$1.3690 and over
138902,3,76,59,87,70,,63,,,70,79,85,66,76,69,96,1,95,100,14,15.4,65,-1,19,20,32.8,64.4,23.7,9.6,50.9,3.1,3.5,4.7,15.5,22.3,19.2,4.8,79,6.4,0,5.2,9.3,0,0,96.9,3.1,0,36.6,5.7,9.5,37172,44593,56698,51867,311,40.8,5.1,51.4,0.6,0,0,1.9,69.8,9.3,13.8,27.3,9.3,1.6,342104,1.235,4366083,14410,51.7,16.5,1093488,0,3910310,3719598,12276,52.4,1949724,6435,45.5,33.5,9.8,0.3,4.6,0.2,4.7,0.8,0.6,0,31.8,11.6,5.8,10.4,19.8,KNOX CITY-O'BRIEN CISD,09,Met Standard,138 KNOX,Under 500,Rural,"$332,093 to < $369,248",$1.1398 to under $1.2401
138903,2,71,61,86,63,,54,,,66,75,76,60,75,64,97.3,0,100,100,25,13.3,60,-1,20.4,25,38,70.2,5.4,16.2,54.1,2.8,2.8,1.4,14.2,24.5,19.8,5.5,77.8,4.5,1.9,2.6,10.2,3,0,100,0,0,31.6,10.5,10.1,41487,52323,77058,111740,385,36.4,6.8,51.7,0,0,0,5.2,70.6,6.2,15.8,24.4,6.2,6.8,137599,1.17,4721125,12327,72.5,11.4,927401,0,4217178,4193768,10950,52.8,2212486,5777,42.2,12.8,25.7,1.9,6.1,0.4,7.6,1.6,1.7,0,16.2,8,6.1,13.6,19.6,MUNDAY CISD,09,Met Standard,138 KNOX,Under 500,Rural,"$103,884 to < $153,471",$1.1398 to under $1.2401
138904,1,72,,83,55,,,,,69,78,100,71,50,67,95.9,0,62.5,80,5,,0,,,5,11.9,18.2,36.8,9.3,65.5,0.3,0.9,5.5,7,20.7,19.2,5.3,89.2,6.6,0,4.2,0,0,0,75.3,16.7,7.9,67,0,8,37338,51610,81268,86019,96,62.5,0,36.5,0,0,0,1,76,1,12.5,32.3,1,14.6,322864,1.17,1678971,17673,72.8,6.3,322716,0,1157974,1077038,11337,55.2,594784,6261,60.4,7.5,15.4,0.3,2.5,0.4,7.2,0.9,5.3,0,20.9,17.5,1.1,9,17.2,BENJAMIN ISD,09,Met Standard,138 KNOX,Under 500,Rural,"$322,342 to < $332,093",$1.1398 to under $1.2401
139905,3,87,75,89,80,88,69,,,80,87,81,87,87,97,96.9,0,98.6,100,56,16.7,61.8,-1,20.6,68,69.6,129.4,11.3,16.4,53.7,4.4,4.1,1.5,13.1,23.1,8.7,7,79.5,7.8,0,5.7,7,0,4.3,91.6,0,4.1,10.1,18.1,13,44200,55700,66435,78130,906,82.3,5.3,7.6,1.9,0,0,2.9,49.8,4,9.7,29.4,4,4.1,844969,1.185,10120832,11283,7.4,4.1,3058865,0,9492556,7823041,8721,54.1,4231068,4717,61.7,11.5,11.2,0.3,6.8,0.5,4.4,2.7,0.8,0,88.6,6.3,6.1,10.5,23,CHISUM ISD,08,Met Standard,139 LAMAR,500 to 999,Non-metropolitan Stable,"$666,628 to < $1,678,318",$1.1398 to under $1.2401
139908,1,78,80,79,77,,-1,,,78,75,73,96,76,75,95.8,1.5,89.5,92.9,13,6.7,75,-1,17.5,20,21.8,33.7,17.3,10.5,64.7,1.5,0.5,3,8.9,21.5,20.7,4.5,81,11.3,0,4.6,3.1,0,13,87,0,0,49.6,13,7,39457,27108,55000,82000,153,71.9,11.8,13.1,0,0,0,3.3,71.9,4.6,13.1,49,4.6,11.1,381700,1.253,2124102,12349,50.3,9.1,149555,0,2102395,1950744,11342,60.8,1186745,6900,58.8,9.8,16,0.3,6.8,0.3,3.8,1,3.3,0,40.6,10.6,2.3,10.3,16,ROXTON ISD,08,Met Standard,139 LAMAR,Under 500,Rural,"$369,248 to < $393,190",$1.2401 to under $1.3690
139909,8,75,66,83,74,79,71,100,-1,68,76,85,77,72,62,96.2,1.2,92.9,92.4,119,34.4,53.8,1537,21.1,173,310.3,596.4,17.3,13.8,52,9.9,3.8,0.7,12.5,21.1,25.5,6,65.7,4.1,2.7,9.3,9.6,8.5,11.3,81.6,3.2,3.9,29.4,20.4,11.4,41450,45771,63775,92224,3552,37.8,33.7,20.9,1,0.8,0,5.8,78.4,9.6,11.2,22.2,8.8,12.6,190982,1.455,37953371,10569,55.2,15.7,8932852,0,37213475,33418269,9306,55.5,18539723,5163,59.2,12.6,12.1,0.4,3.7,0.8,3.2,1,4.5,2.6,29.1,6,5.6,10.4,22.5,PARIS ISD,08,Met Standard,139 LAMAR,"3,000 to 4,999",Independent Town,"$180,893 to < $213,468",$1.3690 and over
139911,6,82,71,84,76,83,79,83,,74,86,87,83,77,69,96.9,1.2,51.7,95.5,0,30.9,-2,1539,21.8,6,245.3,469.5,11.7,15,52.2,6.8,1.8,1.2,18.6,19.3,6.7,6,71.9,5.4,0.5,6.5,11.8,4.1,2.4,94.3,1.8,1.4,19.6,15.4,11.5,42823,51135,70930,84018,2813,82,4.6,7.4,2.4,1,0.1,2.6,46.5,1.9,13.8,27,1.9,10.1,317762,1.111,29916332,10377,41.6,9.6,12054628,0,27462034,25896924,8983,60.3,15623005,5419,48.4,28.1,7.3,0.3,4.9,1,4.1,3.1,0.8,2.1,48.8,7,4.2,8,20.5,NORTH LAMAR ISD,08,Met Standard,139 LAMAR,"1,600 to 2,999",Independent Town,"$307,766 to < $322,342",Under $1.1398
139912,4,81,53,82,80,100,76,,,75,83,89,81,75,79,96.4,2.3,89.4,96.8,44,28.2,51.3,1425,20.4,76,87.7,150,15.2,13.7,58.5,3.4,3.7,1.3,11.9,21.2,2,7.5,76.9,7,1.4,3.7,4.4,6.5,0,95.4,2.3,2.3,26.2,11.7,12.9,42595,47174,69717,78902,1131,86.7,0.9,8.7,1,0,0,2.7,54,1.7,10.6,27.4,1.7,7.3,171505,1.17,10606848,9362,68.3,5.5,5946408,0,9602770,8625584,7613,58.8,5074153,4479,57.7,12.4,10.5,0.2,8.5,0.3,5.2,1.4,2.9,0.9,26.2,5.5,7.6,9.8,18.3,PRAIRILAND ISD,08,Met Standard,139 LAMAR,"1,000 to 1,599",Non-metropolitan Stable,"$153,471 to < $180,893",$1.1398 to under $1.2401
140901,1,64,56,77,64,,,,,61,76,58,45,56,56,96.2,0,100,92.3,11,20,45.5,-1,21,11,19,31.6,31.4,7.2,60.2,3.2,3.2,3.2,6.3,23.9,31.5,5.1,76.2,8.9,2.5,4.2,8.1,0,0,63.2,31.6,5.3,42.1,10.5,8.4,36236,43307,65722,86521,160,11.9,4.4,83.8,0,0,0,0,81.9,32.5,14.4,32.5,31.9,1.3,378468,1.17,1863552,12424,54.9,11.7,217762,0,1801928,1766112,11774,57.8,1021570,6810,64.9,7.3,14.7,0.7,9.1,0.7,2.5,0,0,0,33.3,13.6,5.6,9.2,13.7,AMHERST ISD,17,Improvement Required,140 LAMB,Under 500,Rural,"$369,248 to < $393,190",$1.1398 to under $1.2401
140904,4,69,50,86,66,-1,86,-1,,65,70,71,65,62,77,95.8,0.7,94.9,92.2,63,14.3,64.5,1367,19.3,76,94.9,188.3,14.7,13.7,50.4,3.7,3.2,1.5,18.6,22.6,33.8,7.7,74.1,4.7,0.4,8.1,10.1,2.7,1.1,87.4,11.6,0,28.5,15.6,15.3,44158,58322,79052,102804,1447,21.5,7,69.5,0.3,0.3,0,1.5,74.5,5.4,10.6,22.5,5.4,4.4,168987,1.04,13604019,9628,61,14.6,4735503,0,13160935,13015702,9211,60.1,7822073,5536,50.6,17.1,16.9,0.3,6.7,0.3,4.4,1,2.8,0,24.5,7.2,5.8,8.7,18.2,LITTLEFIELD ISD,17,Met Standard,140 LAMB,"1,000 to 1,599",Non-metropolitan Stable,"$153,471 to < $180,893",Under $1.1398
140905,3,75,100,90,70,,-1,,,69,79,80,76,68,60,96.7,0,96.5,95.5,45,9.1,78.6,-1,19,56,56.8,114.2,18,13.3,49.8,3.5,2.2,1.8,18,24.8,35,5.6,74.8,7.4,0.2,4.6,11.3,1.8,1.8,85.9,12.3,0,24.6,15,11.2,41509,53113,72089,81411,637,19.8,1.3,78.5,0,0,0,0.5,74.7,17.4,8.2,26.4,17.4,6.1,257389,1.12,7676785,12089,63.7,11,2786030,0,9080500,6980516,10993,51.8,3616870,5696,50.3,12.9,21,1.6,3.7,1.4,5.5,1,2.6,0.1,25.3,7.4,5.8,10.8,24.1,OLTON ISD,17,Met Standard,140 LAMB,500 to 999,Rural,"$256,362 to < $267,621",Under $1.1398
140907,2,74,100,86,67,-1,,-1,,70,77,84,73,67,59,96.1,0,100,96.6,13,33.3,66.7,,20.4,18,35.1,71.5,22.8,13.9,49.1,5.6,2.6,1.4,12.2,29.1,30.3,5.4,80,9.7,0,2.8,7.5,0,0,94.3,5.7,0,22.8,8.8,10.9,43439,32522,62859,90000,384,31.5,2.6,65.4,0.3,0.3,0,0,66.4,9.9,13.5,30.2,9.6,7.6,240475,1.04,4306809,11216,62.2,10.2,1486462,0,4874909,4104116,10688,53.2,2184216,5688,45.7,9.4,25.7,0.6,6.9,2.2,4.3,1.1,4.1,0,27.6,7.2,4.8,14.6,20.2,SPRINGLAKE-EARTH ISD,17,Met Standard,140 LAMB,Under 500,Rural,"$233,451 to < $256,362",Under $1.1398
140908,3,80,-1,85,77,,77,,,74,82,92,71,88,75,96.4,0,94.7,100,31,28.6,56.8,-1,21.8,37,41.1,67.6,19.5,13.7,60.8,4.4,3,1.5,7.4,22.9,18.5,6.4,73.3,10.5,4.8,5.9,5.4,0,0,90.3,9.7,0,21.9,8.8,10.5,43502,50523,74375,101720,433,43,0.9,53.6,0.5,0,0,2.1,52.7,7.4,8.8,37.2,7.4,6.5,930823,1.11,6052705,13511,12.6,6,2785324,0,6091429,5248080,11714,50.4,2644310,5902,64.9,5.8,7.5,1.6,7,0.1,7.8,0.9,2.6,1.7,81.4,8.8,5.2,12.1,23.5,SUDAN ISD,17,Met Standard,140 LAMB,Under 500,Rural,"$666,628 to < $1,678,318",Under $1.1398
141901,5,83,75,86,75,70,86,79,78,75,83,85,85,84,75,95.5,0,98.8,99.1,218,20.5,60.2,1408,21,259,229.5,516.5,14.7,12.5,44.4,5.1,2.4,1,13.5,33.6,16.8,6.5,67.7,4.3,1.4,6.9,10.6,9.1,1.3,90,7,1.7,26.9,18.2,14.7,43442,53346,68373,96226,3363,67.6,2.3,24.6,0.7,1.3,0.4,3,51.8,2.9,10.4,21.3,2.8,9.6,292864,1.45,34526131,10215,44.2,9.5,9160449,0,34945973,28557479,8449,51.9,14832942,4388,62.5,16.1,8,0.2,3.8,0.7,4.9,2.1,1.1,0.8,46.3,7.2,5.5,12.2,23.1,LAMPASAS ISD,12,Met Standard,141 LAMPASAS,"3,000 to 4,999",Other Central City Suburban,"$285,930 to < $307,766",$1.3690 and over
141902,1,74,,86,62,-1,83,-1,,64,72,100,69,84,63,96.1,0,94.7,100,16,27.3,55,1370,20.1,20,26.3,50,18.2,16.7,52.6,5.1,4.9,3.3,16,17.9,18,5.4,77.8,7.1,0,4.3,3.8,7,0,88.6,11.4,0,15.2,17.7,10.2,42000,42955,48553,79683,268,44,0,52.6,0.4,1.1,0,1.9,71.6,13.4,9,34,13.4,7.5,307594,1.04,3529629,11277,52.6,14,395385,0,3634955,3419982,10926,57.8,1976191,6314,37.1,13.2,38,1.2,4.7,0.2,4.3,1.3,0,0,33.5,7.6,5.9,11.7,17,LOMETA ISD,12,Met Standard,141 LAMPASAS,Under 500,Rural,"$285,930 to < $307,766",Under $1.1398
142901,4,63,-1,85,62,-1,-1,71,,60,64,74,68,55,53,94.4,3.3,85.7,95.6,48,0,73.1,1163,16.3,52,106.8,223.5,21.3,11.2,47.8,4.5,2.2,0.9,11.5,33.2,78,6.1,78.3,5.5,0,6.8,8.6,0.8,0.9,33.3,64.8,0.9,43.8,6.6,12.7,45395,56838,71987,100049,1352,5.5,0.1,93.5,0.1,0.5,0,0.1,82.1,8.1,9.2,26.5,7.2,10.1,1739397,1.154,61383586,45003,2.4,2.6,26244223,0,57340459,43833880,32136,17.8,7797604,5717,62.4,12.2,12,0.4,3.9,0.2,5.8,0.5,2,0.7,95,68.9,1.8,4.4,7.1,COTULLA ISD,20,Met Standard,142 LA SALLE,"1,000 to 1,599",Other Central City Suburban,"$1,678,318 and over",$1.1398 to under $1.2401
143901,4,87,74,90,81,-1,89,-1,,79,88,94,82,86,83,96.6,0,98.6,98.7,55,19.2,71.2,1434,20.7,73,85.1,166.6,12.2,14.4,51.1,4.8,2.7,1.2,11.2,29,7.3,6.2,81.3,7.2,0,3.7,3.8,4,0,98.8,0,1.2,20.3,10.9,12.2,43738,55859,69586,84500,1040,67.1,10.3,18.7,0.2,0.5,0,3.3,40.3,1.3,9.8,33.8,1.3,5.3,597247,1.103,13003925,12761,20.2,3.6,2637681,0,13039664,10283850,10092,56.7,5833487,5725,54.8,11.6,16.6,0.1,5.7,0.6,5.3,1.5,3.7,0.1,76.2,6.5,5.5,10.7,20.6,HALLETTSVILLE ISD,03,Met Standard,143 LAVACA,"1,000 to 1,599",Non-metropolitan Fast Growing,"$533,171 to < $666,628",Under $1.1398
143902,2,88,,92,84,-1,88,,,84,90,91,85,95,80,97.2,0,85.7,100,11,25,66.7,-1,21.3,12,29,54.7,7.3,14.5,52.9,6.4,3.5,1.8,7.3,28.1,9.9,5.8,85.1,7.3,0,0,5.7,2,0,96.5,3.5,0,25.5,15.8,10.9,45018,46892,59836,81000,317,52.1,0.6,45.4,0.6,0,0,1.3,51.1,8.2,10.1,27.1,8.2,1.9,509435,0.99,5989170,18834,19.1,2.5,3240300,0,3789101,3149674,9905,56.5,1778276,5592,70.8,11.6,6.3,1.7,5.6,1.1,2.7,0.3,0,0,78.4,10.1,5.2,9.8,18.5,MOULTON ISD,03,Met Standard,143 LAVACA,Under 500,Rural,"$476,841 to < $512,265",Under $1.1398
143903,2,88,74,91,76,-1,86,-1,,78,94,100,79,75,88,97.3,0.5,97.7,100,36,30.3,78.6,1460,21.4,42,49.2,81.9,7.6,18.2,60,3.7,2.9,1.2,8.5,23.7,9.6,7.3,84.8,9.2,0,0,6.1,0,0,98,0,2,6.1,11.5,12.2,48949,48858,70406,91779,598,74.6,7.4,14.5,0.2,0.7,0,2.7,29.1,2.8,10,30.4,2.8,1.7,525034,1.04,7526638,12910,23.8,3.9,1871296,0,6573365,5217471,8949,56.5,2949670,5059,62.2,12.4,6.1,0.6,7,0.4,6.5,1.5,3.4,0,72.3,6.6,4.5,11.4,21,SHINER ISD,03,Met Standard,143 LAVACA,500 to 999,Rural,"$512,265 to < $533,171",Under $1.1398
143904,1,84,75,86,67,,,-1,,76,88,-1,81,-1,86,97.3,,,,,,,,,,10.6,19.6,0,15.5,54.4,1,0,1.8,20.2,22.6,5.1,5.6,92.2,0,0,0,7.8,0,9.4,90.6,0,0,28.2,15.4,10.2,45329,33969,,70000,109,74.3,9.2,9.2,0,4.6,0,2.8,45,0,10.1,0,0,2.8,439759,1.04,1338695,10796,47,4.5,1338204,0,1013848,980060,7904,65.8,644580,5198,61.7,11.8,19.1,0,0,0.9,0,0,6.5,0,48.5,8.1,5.6,6.3,14.3,VYSEHRAD ISD,03,Met Standard,143 LAVACA,Under 500,Rural,"$426,008 to < $476,841",Under $1.1398
143905,1,94,-1,94,94,,-1,,,94,93,100,97,90,96,97.6,,,,,,,,,,10.9,21.1,9.1,17.7,51.6,5,0,4.2,18.1,21.1,9.4,7.3,96.7,0,0,3.3,0,0,0,90.8,9.2,0,0,3.4,14.2,48242,10483,,90980,154,76,0.6,20.8,0,0,0,2.6,16.2,0,7.8,0,0,11.7,376058,1.04,1466284,10112,47.5,3.7,239099,0,1383426,1323084,9125,57.9,766544,5287,68.3,8.2,13.9,0,0,6.1,0,0,3.5,0,48.8,14.7,3.4,6.4,17.5,SWEET HOME ISD,03,Met Standard,143 LAVACA,Under 500,Rural,"$369,248 to < $393,190",Under $1.1398
143906,1,89,-1,89,-1,,,,,76,92,,90,-1,82,96.4,,,,,,,,,,7.2,16.3,3,11.8,44.3,0,0,4.8,30.4,20.5,0,4.9,100,0,0,0,0,0,0,100,0,0,30.7,3,11.1,41541,,,66500,80,83.8,2.5,8.8,0,0,0,5,37.5,0,12.5,0,0,3.8,1276191,0.952,838471,12704,5.6,8.2,66050,0,959840,830888,12589,50.8,422149,6396,78.7,7.7,11.5,0,0,2.1,0.1,0,0,0,86.2,17.6,3.6,7.9,20,EZZELL ISD,03,Met Standard,143 LAVACA,Under 500,Rural,"$666,628 to < $1,678,318",Under $1.1398
144901,4,76,70,87,71,-1,68,-1,,70,75,91,76,92,55,96.6,2.1,96,95.1,124,13.4,57.3,1374,18.4,143,143.3,266.9,20.3,14.6,53.7,5.2,3.1,1.1,9.7,27.1,20.9,7.3,88.7,4.3,1.8,0,4.4,0.7,2.1,85.3,11.9,0.7,26.5,16,13.5,46666,55911,63088,91169,1942,32.5,9.1,56,0.4,0.3,0,1.8,68.8,18,9.7,24.6,11,2.8,398306,1.42,20359446,10620,34.5,8.8,2079487,0,20777766,17137406,8940,54.3,9307720,4855,59.2,13.8,9.5,6.9,3.2,0.7,5.2,0.2,0.1,1.2,56.8,9.8,5.5,11,19.3,GIDDINGS ISD,13,Met Standard,144 LEE,"1,600 to 2,999",Non-metropolitan Stable,"$393,190 to < $426,008",$1.3690 and over
144902,3,86,67,88,80,-1,83,-1,-1,81,89,69,83,83,85,95.7,0.7,96.9,98.4,52,27.6,44.6,1454,19.6,65,79.9,146.5,24.4,11.9,54.6,5.3,2.5,2.7,8,27,7.3,6.6,72,7.5,0.3,7.3,6,6.8,1.3,92.5,3.8,2.5,31.4,12.3,12,42248,46751,71132,75781,960,75.7,7.5,12.9,0.2,0.1,0.1,3.4,45.5,1.1,9,30.9,1,4.4,338394,1.119,10813517,11455,42.5,6.3,2312003,0,10703772,9111895,9652,53.4,4863426,5152,61.9,12.9,9,0.3,5.3,0.3,6.2,2,1,1.2,51.2,6.6,5.1,15,19.9,LEXINGTON ISD,13,Met Standard,144 LEE,500 to 999,Non-metropolitan Stable,"$332,093 to < $369,248",Under $1.1398
144903,1,64,61,81,55,,92,-1,,61,60,88,63,73,56,97,0,100,70,8,37.5,80,1417,20,10,20.4,36.1,37.1,9.1,56.4,2.8,2.8,3.4,2.7,32,24,5.3,89.9,6.3,0,0,3.8,0,4.9,80.4,9.8,4.9,54,11.6,9.3,40276,40228,64000,79882,190,21.1,33.2,38.9,1.1,0.5,0,5.3,75.8,3.2,17.9,37.9,5.3,0.5,1054904,1.17,2476199,13385,18.6,8.5,1411677,0,2315253,2287449,12365,51.7,1181553,6387,65,11.7,13.7,0,5.1,0,3.1,0,1.4,0,72.8,13.7,5.3,11.9,17.5,DIME BOX ISD,13,Met Standard,144 LEE,Under 500,Rural,"$666,628 to < $1,678,318",$1.1398 to under $1.2401
145901,3,81,66,86,76,-1,85,100,,76,85,74,75,79,79,95.8,1,96.1,96.6,38,15,39.2,1428,20.2,51,74.8,146,38.8,10.2,51.3,2.8,3.4,3.5,13,26,23.8,6.5,79.9,10.4,0.8,0.3,6,2.7,2.7,94.7,2.7,0,34.7,23,12.7,41455,50216,65926,64884,953,50.2,5.5,40.2,0.4,1,0.1,2.6,62.1,16.4,6.4,26.4,16.4,6.9,327096,1.287,11111914,11247,44.3,6.5,3110788,0,10074237,8065627,8164,57.9,4668969,4726,58,10.4,13.9,2.2,7,0.4,5.7,1,0.9,0.6,49.2,8.1,6,7.8,20.2,BUFFALO ISD,06,Met Standard,145 LEON,500 to 999,Non-metropolitan Stable,"$322,342 to < $332,093",$1.2401 to under $1.3690
145902,2,81,68,83,79,75,73,67,,71,82,93,79,77,76,96.2,0.9,90,98.3,36,12,53.2,1341,19.2,47,61.2,106.7,15.5,14.7,57.4,5.6,2.6,1.9,12.1,20.4,10.2,6.6,78.6,9.9,0.5,1.5,6.5,3.1,4.9,93.5,1.6,0,19.6,18.4,11.4,45369,49290,64117,84252,700,79.4,8.3,10,0.7,0.4,0,1.1,40.4,2.9,7.4,33.3,2.9,3.1,466160,1.04,8853796,12888,36.8,10.6,2811844,0,7510612,7327855,10666,58.1,4259181,6200,42.6,25.6,17.1,0.4,5.5,3.5,4.3,0.6,0.5,0,52.6,6.7,4.6,8.6,21.9,CENTERVILLE ISD,06,Met Standard,145 LEON,500 to 999,Rural,"$426,008 to < $476,841",Under $1.1398
145906,3,79,61,81,78,-1,93,100,,74,85,87,82,51,76,95.9,1.8,87.5,94.7,24,10,57.1,1297,20.3,35,43,84.9,22.7,15.4,50.6,3.5,4.7,2.4,14.3,24.5,9.4,6.3,80.9,8,0,0,8.6,2.5,2.3,93,4.7,0,14,9.3,12.5,42959,40474,67042,86850,539,75.9,7.4,12.4,0.2,1.1,0.2,2.8,43.6,3.3,8,29.9,3.3,8.9,608704,1.24,5100519,9943,25.9,5.7,1108343,0,6086628,4787877,9333,54.1,2590440,5050,63,12.1,9.4,0.2,6.8,0.4,5.2,1.1,1.6,0.3,68.4,9,7,12.8,17.1,NORMANGEE ISD,06,Met Standard,145 LEON,500 to 999,Rural,"$533,171 to < $666,628",$1.1398 to under $1.2401
